Gene_Name	Best_Theta	Group	CHROM	START	STOP	STRAND	SIGVAL	Best_Theta_0	Loss_Diff_0	Category_0	Best_Theta_30	Loss_Diff_30	Category_30	Best_Theta_60	Loss_Diff_60	Category_60	Best_Theta_120	Loss_Diff_120	Category_120
Q0010	NA	Bad	chrM	3951	4338	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0017	NA	Bad	chrM	4253	4415	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0032	NA	Bad	chrM	11666	11957	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0045	NA	Bad	chrM	13817	26701	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0050	NA	Bad	chrM	13817	16322	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0055	NA	Bad	chrM	13817	18830	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0060	NA	Bad	chrM	13817	19996	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0065	NA	Bad	chrM	13817	21935	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0070	NA	Bad	chrM	13817	23167	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0075	NA	Bad	chrM	24155	25255	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0080	NA	Bad	chrM	27665	27812	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0085	NA	Bad	chrM	28486	29266	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0092	NA	Bad	chrM	30873	31014	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0105	NA	Bad	chrM	36539	43647	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0110	NA	Bad	chrM	36539	38579	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0115	NA	Bad	chrM	36539	40265	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0120	NA	Bad	chrM	36539	42251	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0130	NA	Bad	chrM	46722	46953	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0140	NA	Bad	chrM	48900	50097	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0142	NA	Bad	chrM	51051	51228	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0143	NA	Bad	chrM	51276	51429	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0144	NA	Bad	chrM	54108	54438	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0160	NA	Bad	chrM	61021	61729	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0182	NA	Bad	chrM	65769	66174	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0250	NA	Bad	chrM	73757	74513	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
Q0255	NA	Bad	chrM	74494	75984	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
